_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
537,537,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,04-04-2021 15:00,1
538,538,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,04-04-2021 18:30,2
539,539,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,04-04-2021 19:30,5.5
540,540,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,04-04-2021 20:30,1
541,541,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 11:00,2
542,542,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 12:00,0.5
543,543,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 15:00,15
544,544,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 16:00,9
545,545,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 17:00,6
546,546,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 18:00,4
547,547,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 19:00,10
548,548,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 20:00,19.5
549,549,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 22:00,9.5
550,550,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,09-04-2021 23:00,21.5
551,551,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,10-04-2021 01:00,1
