_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,1,Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,04-07-2022 05:00,711
6,6,Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,11-12-2022 04:00,627
7,7,Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,19-01-2023 22:00,898
8,8,Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,20-03-2023 03:00,715
9,9,Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,12-04-2023 22:00,2
